ts_code,ann_date,end_date,report_type,revenue,fin_exp,total_profit
000006.SZ,20190330,20181231,1,2511844429.36,88912716.85,1068986598.04
000006.SZ,20181027,20180930,1,1593892440.25,63814847.96,639954629.53
000006.SZ,20180817,20180630,1,1055586030.09,40122604.76,512405489.01
000006.SZ,20180427,20180331,1,485058860.26,23270697.64,298712053.35
000006.SZ,20180330,20171231,1,2959450243.71,112874725.71,960226743.02
000006.SZ,20171028,20170930,1,2319260982.03,84599053.86,469373334.94
000006.SZ,20170818,20170630,1,1869597910.47,57808239.13,357597285.41
000006.SZ,20170427,20170331,1,1167907487.84,31240700.21,151832604.54
000006.SZ,20170330,20161231,1,3358826445.85,152816927.68,924397480.39
000006.SZ,20161031,20160930,1,1145705667.59,121308198.05,163757248.86
000006.SZ,20160819,20160630,1,868689205.8,89375120.05,142724669.17
000006.SZ,20160423,20160331,1,382487016.97,54595390.44,58499896.31
000006.SZ,20160330,20151231,1,3654309497.23,229776293.26,593119108.5
000006.SZ,20151028,20150930,1,2305455591.85,171371053.86,386111826.01
000006.SZ,20150829,20150630,1,2022614399.84,114225856.51,360461013.03
000006.SZ,20150424,20150331,1,1389232679.27,56395576.05,281429222.13
000006.SZ,20150401,20141231,1,2328729592.72,118892260.57,685154590.12
000006.SZ,20141028,20140930,1,649854441.03,70060985.5,314036766.05
000006.SZ,20140815,20140630,1,491488388.68,46147492.59,64013132.11
000006.SZ,20140423,20140331,1,262919739.06,22545616.43,40361368.36
000006.SZ,20140315,20131231,1,4610855024.2,34598239.08,926275160.74
000006.SZ,20131025,20130930,1,1614383192.89,284525.5,475523810.24
000006.SZ,20130815,20130630,1,1170522469.81,-2385775.51,354750025.73
000006.SZ,20130425,20130331,1,302177502.34,-5060355.92,83353508.85
000006.SZ,20130330,20121231,1,3076245082.95,7253940.98,845184727.43
000006.SZ,20121020,20120930,1,2027707252.55,8975562.5,484426297.51
000006.SZ,20120811,20120630,1,1513707196.97,8649394.22,385571228.96
000006.SZ,20120419,20120331,1,457431188.88,5378139.0,118784839.84
000006.SZ,20120418,20111231,1,2589275275.03,56772400.79,564255019.92
000006.SZ,20111029,20110930,1,1717990635.87,50302513.42,360288786.99
000006.SZ,20110803,20110630,1,1068706405.04,44829825.2,188858347.88
000006.SZ,20110422,20110331,1,499790091.66,34379479.04,71293458.0
000006.SZ,20110331,20101231,1,2338734540.68,96511325.42,634721275.99
000006.SZ,20101030,20100930,1,1075492236.72,66946206.86,162927338.33
000006.SZ,20100807,20100630,1,779319840.61,42617249.02,121976459.81
000006.SZ,20100421,20100331,1,287644602.2,19586220.79,44720291.66
000006.SZ,20100317,20091231,1,1849235813.72,93588576.93,404295604.93
000006.SZ,20091031,20090930,1,625117965.16,85440533.55,206816603.1
000006.SZ,20090812,20090630,1,479000447.49,69940618.45,121624141.94
000006.SZ,20090425,20090331,1,192659884.23,10754494.97,72618264.74
000006.SZ,20090425,20081231,1,1021744569.06,74120944.25,161570255.74
000006.SZ,20081015,20080930,1,883904860.31,79125920.77,285180972.49
000006.SZ,20080802,20080630,1,810784026.87,48860204.87,286048865.36
000006.SZ,20080422,20080331,1,703519725.21,22321108.75,280077785.38
000006.SZ,20080329,20071231,1,1024038256.7,77738880.46,287810561.17
000006.SZ,20071030,20070930,1,362050937.39,-4583808.28,138983586.05
000006.SZ,20070816,20070630,1,203598984.56,-696518.45,87978809.01
000006.SZ,20070421,20070331,1,106531614.58,-282044.58,15074140.6
000006.SZ,20080329,20061231,1,1254539195.0,24453738.02,253116047.56
000006.SZ,20071030,20060930,1,1028187095.88,17562655.93,211296642.84
000006.SZ,20070816,20060630,1,882203281.54,12316886.22,202841594.06
000006.SZ,20070421,20060331,1,207151899.19,7790350.03,40793413.78
000006.SZ,20060401,20051231,1,1433864802.95,30401175.17,117683337.58
000006.SZ,20051028,20050930,1,1007678588.77,34758862.35,20442365.82
000006.SZ,20050818,20050630,1,824082551.1,24729266.47,-6612900.64
000006.SZ,20050422,20050331,1,476602703.88,9695197.27,9114397.44
000006.SZ,20050415,20041231,1,1876976216.41,51060253.06,63496915.19
000006.SZ,20041023,20040930,1,934242012.88,40551321.07,-45131032.73
000006.SZ,20040819,20040630,1,642727771.54,25902563.13,-63190990.84
000006.SZ,20040428,20040331,1,252851076.31,12590811.17,-6468755.38
000006.SZ,20040421,20031231,1,1988930626.25,52590428.43,-193702732.54
000006.SZ,20031025,20030930,1,1433194932.96,47134638.09,-40132331.59
000006.SZ,20030819,20030630,1,1012937426.32,32244452.81,8041290.93
000006.SZ,20030426,20030331,1,410857881.08,21723695.59,-12368972.59
000006.SZ,20030426,20021231,1,2084211153.0,27404340.57,27507807.64
000006.SZ,20021030,20020930,1,1513980221.66,46441960.26,67318293.13
000006.SZ,20020824,20020630,1,955878002.5,33692257.58,47741666.31
000006.SZ,20020426,20020331,1,457784400.0,,11072600.0
